epoch,accuracy,loss,val_accuracy,val_loss
0,0.3627140522003174,3.7433063983917236,0.5928035378456116,2.3731133937835693
1,0.6109728813171387,2.157025098800659,0.6504635810852051,1.9016361236572266
2,0.6727299690246582,1.7722487449645996,0.6803973317146301,1.7308454513549805
3,0.7141048312187195,1.558869481086731,0.6961589455604553,1.654538869857788
4,0.7456304430961609,1.3959745168685913,0.6999558210372925,1.6390084028244019
5,0.7727533578872681,1.2641479969024658,0.7390507745742798,1.6019154787063599
6,0.7953705191612244,1.1490741968154907,0.7612582921981812,1.4993380546569824
7,0.8166036009788513,1.0474684238433838,0.7881456685066223,1.2978782176971436
8,0.8352892398834229,0.9570225477218628,0.8136865258216858,1.0236193180084229
9,0.8813629150390625,0.769934892654419,0.8340397238731384,0.941269302368164
10,0.8984583020210266,0.6915208697319031,0.8543929409980774,0.8892037725448608
11,0.9053789377212524,0.6577872633934021,0.8551434826850891,0.840198335647583
12,0.9111216068267822,0.6311181783676147,0.8661589670181274,0.827436375617981
13,0.914905846118927,0.6089983582496643,0.8876158833503723,0.7207148790359497
14,0.9182925224304199,0.5906714797019958,0.8868653416633606,0.7257258415222168
